CM_ÁÎÐÒ_À âèòoê=1107(121107) 3 ôeâpaëÿ 2020ã.s8 Ha÷.Kaäp=0   date=3 2 2020
                 1    ,       2    ,      3    ,      4    ,
     t           MMPTCT      MMPTCT      ÃPAÄ C      MMPTCT  t_ÁOPTOBOE   BÈTOK
 6:33:38.064         ~           ~      25.23614         ~    6:33:38.851  1107
 6:33:38.085         ~     734.78174         ~           ~    6:33:38.872  1107
 6:33:38.806   734.71979         ~           ~           ~    6:33:39.595  1107
 6:33:39.125         ~           ~           ~     740.27441  6:33:39.914  1107
 6:33:39.422         ~           ~      25.23614         ~    6:33:40.212  1107
 6:33:39.443         ~     734.78174         ~           ~    6:33:40.234  1107
 6:33:40.164   734.71979         ~           ~           ~    6:33:40.957  1107
 6:33:40.482         ~           ~           ~     740.27441  6:33:41.250  1107
 6:33:40.779         ~           ~      25.23614         ~    6:33:41.541  1107
 6:33:40.800         ~     734.78174         ~           ~    6:33:41.562  1107
 6:33:41.521   734.71979         ~           ~           ~    6:33:42.297  1107
 6:33:41.840         ~           ~           ~     740.27441  6:33:42.617  1107
 6:33:42.137         ~           ~      25.23614         ~    6:33:42.914  1107
 6:33:42.158         ~     739.42999         ~           ~    6:33:42.936  1107
 6:33:42.879   734.71979         ~           ~           ~    6:33:43.659  1107
 6:33:43.197         ~           ~           ~     740.27441  6:33:43.978  1107
 6:33:43.494         ~           ~      25.23614         ~    6:33:44.276  1107
 6:33:43.515         ~     734.78174         ~           ~    6:33:44.297  1107
 6:33:44.236   734.71979         ~           ~           ~    6:33:45.021  1107
 6:33:44.555         ~           ~           ~     740.27441  6:33:45.340  1107
 6:33:44.852         ~           ~      25.23614         ~    6:33:45.638  1107
 6:33:44.873         ~     739.42999         ~           ~    6:33:45.659  1107
 6:33:45.596   734.71979         ~           ~           ~    6:33:46.382  1107
 6:33:45.914         ~           ~           ~     740.27441  6:33:46.702  1107
 6:33:46.211         ~           ~      25.23614         ~    6:33:48.000  1107
 6:33:46.232         ~     734.78174         ~           ~    6:33:47.021  1107
 6:33:46.953   734.71979         ~           ~           ~    6:33:47.744  1107
 6:33:47.272         ~           ~           ~     740.27441  6:33:48.041  1107
 6:33:47.569         ~           ~      25.23614         ~    6:33:48.333  1107
 6:33:47.590         ~     739.42999         ~           ~    6:33:48.354  1107
 6:33:48.311   734.71979         ~           ~           ~    6:33:49.085  1107
 6:33:48.629         ~           ~           ~     740.27441  6:33:49.404  1107
 6:33:48.926         ~           ~      25.23614         ~    6:33:49.702  1107
 6:33:48.947         ~     734.78174         ~           ~    6:33:49.723  1107
 6:33:49.668   734.71979         ~           ~           ~    6:33:50.446  1107
 6:33:49.987         ~           ~           ~     740.27441  6:33:50.765  1107
 6:33:50.284         ~           ~      25.23614         ~    6:33:51.063  1107
 6:33:50.305         ~     734.78174         ~           ~    6:33:51.085  1107
 6:33:51.026   734.71979         ~           ~           ~    6:33:51.808  1107
 6:33:51.344         ~           ~           ~     740.27441  6:33:52.127  1107
 6:33:51.641         ~           ~      25.23614         ~    6:33:52.425  1107
 6:33:51.662         ~     734.78174         ~           ~    6:33:52.446  1107
 6:33:52.383   734.71979         ~           ~           ~    6:33:53.170  1107
 6:33:52.702         ~           ~           ~     740.27441  6:33:53.489  1107
 6:33:52.999         ~           ~      25.23614         ~    6:33:53.787  1107
 6:33:53.020         ~     739.42999         ~           ~    6:33:53.808  1107
 6:33:53.741   739.77777         ~           ~           ~    6:33:54.531  1107
 6:33:54.059         ~           ~           ~     740.27441  6:33:54.851  1107
 6:33:54.356         ~           ~      25.23614         ~    6:33:55.125  1107
 6:33:54.377         ~     734.78174         ~           ~    6:33:55.145  1107
 6:33:55.098   734.71979         ~           ~           ~    6:33:55.854  1107
 6:33:55.417         ~           ~           ~     740.27441  6:33:56.191  1107
 6:33:55.714         ~           ~      25.23614         ~    6:33:56.489  1107
 6:33:55.735         ~     734.78174         ~           ~    6:33:56.510  1107
 6:33:56.456   734.71979         ~           ~           ~    6:33:57.234  1107
 6:33:56.774         ~           ~           ~     740.27441  6:33:57.553  1107
 6:33:57.071         ~           ~      25.23614         ~    6:33:57.851  1107
 6:33:57.092         ~     734.78174         ~           ~    6:33:57.872  1107
 6:33:57.814   734.71979         ~           ~           ~    6:33:58.595  1107
 6:33:58.132         ~           ~           ~     740.27441  6:33:58.914  1107
 6:33:58.429         ~           ~      25.23614         ~    6:33:59.212  1107
 6:33:58.450         ~     739.42999         ~           ~    6:33:59.234  1107
 6:33:59.171   734.71979         ~           ~           ~    6:33:59.957  1107
 6:33:59.489         ~           ~           ~     740.27441  6:34:00.276  1107
